athlete,athlete_id,medals_won,sport,rank
,17472,3,Hockey,9
,17522,3,Hockey,10
,100370,5,Ice Hockey,1
,100360,5,Ice Hockey,2
,100590,4,Ice Hockey,3
,110248,4,Ice Hockey,4
,100352,4,Ice Hockey,5
,86717,4,Ice Hockey,6
,119215,4,Ice Hockey,7
,89529,4,Ice Hockey,8
,119353,4,Ice Hockey,9
,100467,4,Ice Hockey,10
,18215,1,Jeu De Paume,1
,17930,1,Jeu De Paume,2
,17931,1,Jeu De Paume,3
,112724,5,Judo,1
,112605,4,Judo,2
,33180,4,Judo,3
,34206,4,Judo,4
,33304,3,Judo,5
,130152,3,Judo,6
,33680,3,Judo,7
,33843,3,Judo,8
,92381,3,Judo,9
,121786,3,Judo,10
,145085,1,Karate,1
,144403,1,Karate,2
,141711,1,Karate,3
,146584,1,Karate,4
,142555,1,Karate,5
,146969,1,Karate,6
,147026,1,Karate,7
,144782,1,Karate,8
,141317,1,Karate,9
,143680,1,Karate,10
,18223,1,Lacrosse,1
,17316,1,Lacrosse,2
,17938,1,Lacrosse,3
,18219,1,Lacrosse,4
,18221,1,Lacrosse,5
,18217,1,Lacrosse,6
,17308,1,Lacrosse,7
,17939,1,Lacrosse,8
,18220,1,Lacrosse,9
,18224,1,Lacrosse,10
,119444,7,Luge,1
,127856,6,Luge,2
,99296,6,Luge,3
,127853,6,Luge,4
,86358,5,Luge,5
,84251,4,Luge,6
,88609,4,Luge,7
,83964,4,Luge,8
,137316,4,Luge,9
,86640,3,Luge,10
,125722,2,Marathon Swimming,1
,104147,2,Marathon Swimming,2
,124759,1,Marathon Swimming,3
,93816,1,Marathon Swimming,4
,130687,1,Marathon Swimming,5
,140690,1,Marathon Swimming,6
,93497,1,Marathon Swimming,7
,133910,1,Marathon Swimming,8
,116001,1,Marathon Swimming,9
,135285,1,Marathon Swimming,10
,92104,1,Military Ski Patrol,1
,95248,1,Military Ski Patrol,2
,100760,1,Military Ski Patrol,3
,100763,1,Military Ski Patrol,4
,100759,1,Military Ski Patrol,5
,100762,1,Military Ski Patrol,6
,100755,1,Military Ski Patrol,7
,100756,1,Military Ski Patrol,8
,83745,1,Military Ski Patrol,9
,87664,1,Military Ski Patrol,10
,35117,7,Modern Pentathlon,1
,34890,5,Modern Pentathlon,2
,34843,5,Modern Pentathlon,3
,35122,4,Modern Pentathlon,4
,34860,3,Modern Pentathlon,5
,34856,3,Modern Pentathlon,6
,35123,3,Modern Pentathlon,7
,35073,3,Modern Pentathlon,8
,34889,3,Modern Pentathlon,9
,35128,3,Modern Pentathlon,10
,17956,2,Motorboating,1
,17955,2,Motorboating,2
,17950,2,Motorboating,3
,17850,1,Motorboating,4
,86160,7,Nordic Combined,1
,119468,7,Nordic Combined,2
,128220,6,Nordic Combined,3
,99970,5,Nordic Combined,4
,101095,4,Nordic Combined,5
,119466,4,Nordic Combined,6
,101080,4,Nordic Combined,7
,110874,4,Nordic Combined,8
